term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,dropped_state,outcome,treatment,diff_n,inference_standard
d3_l1_disp_top10_share_z,-0.7940434736868676,0.9327050882369605,-0.8513339143327746,0.39872536792415425,-2.668384522552306,1.0802975751785708,long_diff_3y,148,rich,South Dakota,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.5775842998041658,0.9118192360550774,-0.6334416701966545,0.5293909571976918,-2.4099536573185505,1.2547850577102186,long_diff_3y,148,rich,Tennessee,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7984060261334958,0.9316458480115279,-0.8569844730565648,0.39562547874306986,-2.6706184520717335,1.073806399804742,long_diff_3y,148,rich,Texas,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8036985462116237,0.9437579128344931,-0.8515939684127114,0.3985823724462323,-2.7002510776885966,1.092853985265349,long_diff_3y,148,rich,Utah,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-1.0645111738017494,0.9160133402146011,-1.1621131779067306,0.2508186969743529,-2.9053088991770535,0.7762865515735546,long_diff_3y,148,rich,Vermont,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7836119673296633,0.9242902011981979,-0.8477986311158906,0.40067246514530364,-2.6410426675787644,1.073818732919438,long_diff_3y,148,rich,Virginia,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8228334130630083,0.9295612190104914,-0.8851847476370692,0.38038032365452334,-2.6908566201821618,1.045189794056145,long_diff_3y,148,rich,Washington,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9333426399494448,0.8811574207559506,-1.0592234916988206,0.29469164768140627,-2.7040947727132734,0.8374094928143839,long_diff_3y,148,rich,West Virginia,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.7844354231326062,0.9327950789903318,-0.840951502426115,0.4044603094149525,-2.65895731518759,1.0900864689223777,long_diff_3y,148,rich,Wisconsin,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.4100349718269466,0.889762436141295,-0.46083646057837474,0.6469548607184494,-2.1980795304242795,1.3780095867703865,long_diff_3y,148,rich,Wyoming,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
l1_disp_top10_share_z,0.6710305558141568,0.9568753812226578,0.7012726724735465,0.4864501609431394,-1.2518825153094975,2.593943626937811,dynamic_fe,298,rich,Alabama,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,-0.04564960007452343,0.8882068236176064,-0.05139523685327668,0.9592195288397645,-1.8305680382656835,1.7392688381166366,dynamic_fe,298,rich,Alaska,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5266341745584374,0.9680658666768328,0.5440065523291945,0.5889038978734638,-1.4187670190253816,2.4720353681422567,dynamic_fe,298,rich,Arizona,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6875421383945447,1.0063243966244022,0.6832211766909603,0.49768504672184655,-1.3347424495808773,2.709826726369967,dynamic_fe,298,rich,Arkansas,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5601607073210964,0.9620818886243361,0.582238075515651,0.5630759188194274,-1.3732152321489006,2.4935366467910933,dynamic_fe,299,rich,California,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5809307420910297,0.9917730858133585,0.585749654231245,0.5607321257455408,-1.412111892010748,2.573973376192807,dynamic_fe,298,rich,Colorado,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.8256223087270018,0.9827566343519074,0.8401086086500652,0.404928121766438,-1.149301087791066,2.80054570524507,dynamic_fe,298,rich,Connecticut,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.8330867086384895,0.9407483919269812,0.8855574091729639,0.38018138368655274,-1.0574179641471249,2.7235913814241037,dynamic_fe,298,rich,Delaware,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,1.0680515278789853,0.9519788787241512,1.1219277567485484,0.2673610229854567,-0.8450216530751287,2.981124708833099,dynamic_fe,298,rich,District of Columbia,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5673342683384834,0.9880106010126362,0.5742188067182769,0.5684465531302338,-1.4181473694776876,2.5528159061546543,dynamic_fe,298,rich,Florida,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.669083094385345,0.9865068301659436,0.6782346294275492,0.5008134957832191,-1.3133766027749958,2.651542791545686,dynamic_fe,298,rich,Georgia,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.43174511106926405,0.9928137814666194,0.43487018323967563,0.6655659768979953,-1.5633888792466948,2.426879101385223,dynamic_fe,298,rich,Hawaii,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.32506325311500867,0.9872347948046541,0.3292664063560781,0.7433576585162138,-1.6588593437567904,2.308985849986808,dynamic_fe,298,rich,Idaho,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6193720467666007,0.983108509604747,0.6300139208596777,0.5316125468171033,-1.3562584695461322,2.595002563079334,dynamic_fe,298,rich,Illinois,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.53994660252503,1.019064957911202,0.5298451274703523,0.5986120636349446,-1.5079411019194726,2.5878343069695324,dynamic_fe,298,rich,Indiana,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.525083130188257,0.9849803003828952,0.5330899815804838,0.596380997169212,-1.4543088905213293,2.5044751508978433,dynamic_fe,298,rich,Iowa,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6589800061760468,0.9894865735096319,0.6659817564160532,0.5085461005027345,-1.3294677094207707,2.647427721772864,dynamic_fe,298,rich,Kansas,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.45996579243010033,0.9856287629878089,0.46667245285717135,0.6428025640807569,-1.520729362672525,2.4406609475327254,dynamic_fe,298,rich,Kentucky,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6446799686351318,0.9904784315680814,0.6508773417857299,0.5181663773163661,-1.3457609603546925,2.6351208976249563,dynamic_fe,298,rich,Louisiana,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.8122067399046072,0.9709659597995304,0.8364935265828461,0.40693829901255507,-1.139022409003954,2.7634358888131683,dynamic_fe,298,rich,Maine,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.4989328747706405,1.0089018640511462,0.4945306303303124,0.6231415100609382,-1.5285313279200736,2.526397077461355,dynamic_fe,298,rich,Maryland,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6169637078212873,0.9731591477680572,0.6339802788025936,0.5290423176688128,-1.338672817319195,2.5726002329617694,dynamic_fe,298,rich,Massachusetts,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.507217169093838,1.0025220523626617,0.5059411589984182,0.6151666596160654,-1.5074263220101503,2.521860660197826,dynamic_fe,298,rich,Michigan,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5786190959376656,0.9827734184528643,0.5887614429463909,0.5587258029973685,-1.3963380294940626,2.5535762213693936,dynamic_fe,298,rich,Minnesota,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5503964806776094,0.9711911594359776,0.5667231165873193,0.5734892610014437,-1.4012852238437665,2.502078185198985,dynamic_fe,298,rich,Mississippi,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6701867160650101,0.9894196582873519,0.6773533459251032,0.5013675087660172,-1.3181265283581263,2.6584999604881467,dynamic_fe,298,rich,Missouri,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.9062396546970077,0.9540257088857703,0.9499111462681933,0.3468193052605604,-1.0109467854645051,2.8234260948585206,dynamic_fe,298,rich,Montana,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5034378905702019,1.0049279214750908,0.5009691539182501,0.6186359246573998,-1.5160403755258978,2.5229161566663016,dynamic_fe,298,rich,Nebraska,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.8633189055303274,0.952729789598855,0.9061529459405548,0.36928939019083007,-1.0512632873228822,2.777901098383537,dynamic_fe,298,rich,Nevada,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6009211992530983,1.0168330405176689,0.590973321389291,0.5572546387906324,-1.4424812992660418,2.644323697772238,dynamic_fe,298,rich,New Hampshire,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.7850289803535274,1.0286542845094913,0.7631611438121454,0.4490260756973673,-1.2821291973636422,2.852187158070697,dynamic_fe,299,rich,New Jersey,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.547472506037983,1.1180585715917124,0.4896635292179546,0.6265571273350878,-1.6993503130928116,2.7942953251687777,dynamic_fe,298,rich,New Mexico,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.42973907981115084,1.010385110449286,0.4253220632082153,0.672464083155687,-1.600705818111826,2.4601839777341277,dynamic_fe,297,rich,New York,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5616192168402342,0.9962645894289065,0.5637249610188131,0.5755123670628992,-1.4404494317048253,2.5636878653852935,dynamic_fe,298,rich,North Carolina,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.7058524904474822,0.9750552693907554,0.7239102362766786,0.47256298326771207,-1.2535944337525597,2.665299414647524,dynamic_fe,298,rich,North Dakota,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5777408472529605,0.9869571932525142,0.5853757905639427,0.5609814281765353,-1.4056238884138694,2.5611055829197906,dynamic_fe,298,rich,Ohio,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6034977220680734,1.0117345327253402,0.5964980956441341,0.5535885175465012,-1.4296589414452927,2.6366543855814393,dynamic_fe,298,rich,Oklahoma,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5461564549538419,0.9502400254586567,0.574756314532453,0.5680857872923843,-1.363422369536933,2.4557352794446166,dynamic_fe,298,rich,Oregon,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6891449762320806,0.9814914652482538,0.702140569360704,0.4859135822659447,-1.283235967784504,2.661525920248665,dynamic_fe,297,rich,Pennsylvania,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.5698367704686182,1.0037948759663653,0.5676824858465527,0.5728426291442004,-1.4473645554306058,2.5870380963678423,dynamic_fe,298,rich,Rhode Island,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.33667566987051695,1.061411870170136,0.3171960662325648,0.7524424713786634,-1.796311340818424,2.4696626805594577,dynamic_fe,298,rich,South Carolina,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.8698374293794713,0.9484233940003214,0.9171404194392705,0.36356126903847985,-1.036090737517643,2.7757655962765853,dynamic_fe,298,rich,South Dakota,fair_poor_health_rate,l1_disp_top10_share_z,NA,conventional_clustered
